PAVARDE,PARTIJA,APYGARDOS_PAVADINIMAS,MAIL_PROPORTION,P_VALUE
VRUBLIAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Alytaus rajono,0.3009675776608386,1.8477429544976266e-49
ŽIOGELIS,Lietuvos socialdemokratų partija,Anykščių rajono,0.3157308377896613,1.3873697484944244e-06
KNIZIKEVIČIUS,Lietuvos socialdemokratų partija,Biržų rajono,0.33997469955724224,1.2694851352235043e-12
TOMKUS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Kaišiadorių rajono,0.3,0.00016753802695164297
BABECKAS,Demokratų sąjunga „Vardan Lietuvos“,Kalvarijos,0.3340961098398169,0.0015521496443067072
JOKUBAUSKAS,Lietuvos socialdemokratų partija,Kelmės rajono,0.38164251207729466,0.006158684408019842
PETROŠIUS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Klaipėdos miesto,0.17025186466327966,7.48403546204726e-103
BARDAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Kupiškio rajono,0.3536262572789836,0.0018606062709059612
TAMULIS,Lietuvos socialdemokratų partija,Kėdainių rajono,0.24147568474007824,8.845911163618873e-20
MATULAITIENĖ,Lietuvos socialdemokratų partija,Mažeikių rajono,0.2033010813887308,0.00010812203167724302
BENDARAVIČIUS,Liberalų sąjūdis,Pagėgių,0.2670178282009725,0.0009400949627678169
POCIUS,Lietuvos socialdemokratų partija,Panevėžio rajono,0.22937425269031486,3.986410129415677e-06
GEGUŽINSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Pasvalio rajono,0.35615550755939523,5.519579962721209e-17
MARGAITIENĖ,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Radviliškio rajono,0.33318700614574187,1.1820267131016021e-11
BAUTRONIS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Raseinių rajono,0.33588421227749127,1.4855370324240834e-33
KATKUS,Lietuvos socialdemokratų partija,Telšių rajono,0.23695571728136178,4.371384046073298e-15
ŠATEVIČIUS,Liberalų sąjūdis,Trakų rajono,0.20832196452933152,0.03985918787294623
JANICKAS,Darbo partija,Ukmergės rajono,0.29473415132924335,2.2032181924131184e-13
KAUKĖNAS,Politinis komitetas „Kartu už Utenos kraštą“,Utenos rajono,0.29266211604095566,9.365425084157015e-30
KAŠĖTA,Politinis komitetas „Drauge su Jumis“,Varėnos rajono,0.40685783035893325,7.673084042491307e-17
BENKUNSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Vilniaus miesto,0.19662728396757798,1.4302492849957753e-294
URBAN,Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga,Vilniaus rajono,0.25359892141086415,2.9550319245845536e-247
GALAGUZ,Lietuvos valstiečių ir žaliųjų sąjunga,Visagino,0.22703962703962705,8.853716941108439e-21
GUSEVAS,Lietuvos socialdemokratų partija,Zarasų rajono,0.37421900690562315,0.0007985756750762769
PILYPAITIS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Šakių rajono,0.3595483745376679,2.1085144695704852e-11
SIMONAVIČIUS,Lietuvos socialdemokratų partija,Šiaulių rajono,0.24455676516329705,4.899873426802927e-05
GUDAUSKAS,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Šilalės rajono,0.3011926420052557,1.1839566943160399e-11
